Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Ecart,Regularite,Longueur_Log,Profil,Score_Regularite,Bonus_Longevite,Score_Final,Genre_Principal,Longevite_Score,Score_Ultime,Score_Qualite_Pure,Score_Synthese
Naruto,Action / Shonen,Manga,220,Fini,Studio Pierrot,2002-10-03,8.4,9.6,Ep 133: Le cri des larmes,Animation fluide et combat viscéral incroyable.,5.8,Ep 26: Journal de Konoha (Recap),"Remplissage inutile, à sauter.","Arc Zabuza très émouvant, bases solides.",Examen Chuunin introduit une tension sombre.,Combat Lee vs Gaara légendaire.,3.8,6.2,5.3981627015177525,Inconstant,6.2,5.3981627015177525,7.439816270151775,Action,1.9963201471941123,7.339632014719411,7.98,7.98
Trigun,Sci-Fi / Action,Manga,26,Fini,Madhouse,1998-04-01,8.2,9.1,Ep 24: Le péché (Sin),"Conclusion tragique de l'arc Wolfwood, émotion pure.",6.5,Ep 13: Vash the Stampede (Recap),Résumé de mi-saison qui casse le rythme.,"Début western comique, Vash joue l'idiot.",Virage dramatique sombre avec les Gung-Ho Guns.,Révélations philosophiques sur le passé et Knives.,2.5999999999999996,7.4,3.295836866004329,Stable,7.4,3.295836866004329,7.469583686600432,Sci-Fi,0.21159153633854647,7.341159153633855,8.14,8.14
Dragon Ball Z,Action / Shonen,Manga,291,Fini,Toei Animation,1989-04-26,8.7,9.4,Ep 237: Le sacrifice d'un père,"Rédemption ultime de Vegeta, sommet émotionnel.",5.9,Ep 39: Amis ou ennemis (Fake Namek),"Filler ennuyeux sur une fausse planète, inutile.",Introduction des Saiyans et codes du Shonen posés.,Aventure spatiale et tension tactique sur Namek.,"Transformation Super Saiyan iconique, combat épique.",3.5,6.5,5.676753802268282,Inconstant,6.5,5.676753802268282,7.737675380226828,Action,2.6494940202391906,7.574949402023918,8.18,8.18
Fullmetal Alchemist: Brotherhood,Aventure / Military,Manga,64,Fini,Bones,2009-04-05,9.1,9.6,Ep 63: De l'autre côté de la porte,"Sacrifice thématique parfait, conclusion magistrale.",6.3,Ep 27: Intermède (Recap),Episode récapitulatif cassant le rythme.,"Début effréné, traumatisme Nina Tucker marquant.",Complot politique et Mustang brille contre Lust.,"Ambiance militaire froide à Briggs, tension monte.",3.3,6.7,4.174387269895637,Inconstant,6.7,4.174387269895637,7.887438726989563,Aventure,0.5611775528978841,7.626117755289789,8.48,8.48
Cowboy Bebop,Sci-Fi / Noir,Original,26,Fini,Sunrise,1998-04-03,8.8,9.7,Ep 26: The Real Folk Blues Pt.2,Fin poétique et iconique. Bang.,7.2,Ep 23: Boogie Woogie Feng Shui,Intrigue faible et rythme un peu mou.,Formation de l'équipe et choc visuel à l'église.,Exploration mélancolique du passé (Jupiter Jazz).,Confrontation fatale avec le Syndicat et Vicious.,2.499999999999999,7.500000000000001,3.295836866004329,Stable,7.500000000000001,3.295836866004329,7.859583686600433,Sci-Fi,0.21159153633854647,7.731159153633856,8.59,8.59
Sword Art Online,Isekai / Romance,Light Novel,25,Fini,A-1 Pictures,2012-07-08,7.2,8.9,Ep 9: Le démon aux yeux bleus,"Hype absolue, révélation du Dual Wield.",5.9,Ep 22: La grande quête (Alfheim),Rythme lent et enjeux faibles dans l'arc des fées.,"Concept 'Jeu de la mort' accrocheur, romance forte.","Chute de qualité, méchant caricatural et moins de tension.",Retour en force avec Gun Gale Online et ton plus mature.,3.0,7.0,3.258096538021482,Stable,7.0,3.258096538021482,6.745809653802148,Isekai,0.20239190432382703,6.7802391904323835,7.48,7.48
Re:Zero,Isekai / Psychologique,Light Novel,50,Fini,White Fox,2016-04-04,8.2,9.8,Ep 15: L'extérieur de la folie,"Chef d'oeuvre d'horreur et de désespoir, fin légendaire.",7.6,Ep 13: Le chevalier autoproclamé,"Episode gênant (cringe) voulu par le scénario, dur à voir.",Boucle temporelle et basculement vers le thriller psycho.,Arc Sanctuaire dense en dialogues et passé des sorcières.,"Résolution intelligente, Subaru grandit et utilise son pouvoir.",2.200000000000001,7.799999999999999,3.9318256327243257,Stable,7.799999999999999,3.9318256327243257,7.653182563272431,Isekai,0.4323827046918123,7.62323827046918,8.4,8.4
Dr. Stone,Sci-Fi / Adventure,Manga,57,En cours,TMS Entertainment,2019-07-05,8.3,9.1,Ep 24: Les voix vers l'infini,"Conclusion S1 émouvante, lien passé-futur sublime.",7.1,Ep 14: Master of Flame,"Rythme un peu plus lent, préparation de tournoi.","Le réveil dans un monde de pierre, la science contre la force.",Stone Wars : Conflit idéologique et batailles tactiques.,New World : Exploration maritime et découverte du 'Pourquoi'. ,2.0,8.0,4.060443010546419,Stable,8.0,4.060443010546419,7.786044301054643,Sci-Fi,0.4967801287948482,7.589678012879486,8.370000000000001,8.370000000000001
One Piece,Adventure / Shonen,Manga,1090,En cours,Toei Animation,1999-10-20,8.7,9.8,Ep 1015: Chapeau de Paille Luffy,"Réalisation cinéma époustouflante, sommet de Wano.",5.6,Ep 336: Chopperman (Filler),Episode hors-série enfantin totalement dispensable.,"Saga East Blue : La formation de l'équipage, nostalgie pure.",Saga Alabasta : Premier grand défi géopolitique contre un Corsaire.,Saga Skypiea/Water 7 : Aventure céleste puis drame interne majeur.,4.200000000000001,5.799999999999999,6.994849985833071,Inconstant,5.799999999999999,6.994849985833071,7.659484998583306,Adventure,10.0,8.18,8.049999999999999,8.049999999999999
Blue Lock,Sport / Thriller,Manga,36,En cours,8bit,2022-10-09,8.2,9.3,Ep 11: La dernière pièce,"Le puzzle s'assemble, le but d'Isagi est jouissif.",6.0,Ep 22: Voice (S2),"Qualité d'animation en baisse critique, beaucoup de plans fixes.","Concept Battle Royale de foot, égoïsme pur mis en avant.","Sélection U-20, enjeux d'équipe vs individualité.",(Non diffusé),3.3000000000000007,6.699999999999999,3.6109179126442243,Inconstant,6.699999999999999,3.6109179126442243,7.291091791264421,Sport,0.3035878564857406,7.180358785648574,7.97,7.97
Haikyuu!!,Sport / Volley,Manga,85,Fini,Production I.G,2014-04-06,8.7,9.9,Ep 10 (S3): La bataille de concepts,Match Karasuno vs Shiratorizawa. Tension irrespirable.,7.5,Ep 15 (S4): Found,"Animation parfois instable dans la S4, mais reste correct.","Formation de l'équipe, duo Hinata/Kageyama explosif.",Développement des rivaux et tournois qualificatifs.,Saison 3 entière dédiée à un seul match légendaire.,2.4000000000000004,7.6,4.454347296253507,Stable,7.6,4.454347296253507,7.945434729625351,Sport,0.7543698252069918,7.8154369825206995,8.61,8.61
One Punch Man,Action / Comedy,Web Manga,24,En cours,Madhouse,2015-10-05,8.5,9.6,Ep 12: Le plus fort des héros,Saitama vs Boros. L'apogée de l'animation japonaise moderne.,6.8,Ep 14 (S2): Le monstre humain,"Changement de studio (JC Staff), baisse visuelle critiquée.","Saison 1 légendaire par Madhouse, satire parfaite des héros.","Saison 2 introduit Garou, histoire plus dense mais anim moins bonne.",(Non diffusé - En production),2.8,7.2,3.2188758248682006,Stable,7.2,3.2188758248682006,7.58188758248682,Action,0.19319227230910763,7.499319227230911,8.33,8.33
Solo Leveling,Action / Fantasy,Manhwa,12,En cours,A-1 Pictures,2024-01-07,8.3,9.5,Ep 12: Arise (Lève-toi),Le moment que tous les fans attendaient. Frissons garantis.,6.2,Ep 7.5: Recap,Episode récapitulatif de mi-saison inutile sur 12 épisodes.,Jinwoo passe de faible à 'Monarque'. Progression addictive.,(Saison 2 annoncée),(Non diffusé),3.3,6.7,2.5649493574615367,Inconstant,6.7,2.5649493574615367,7.246494935746154,Action,0.0827966881324747,7.238279668813248,8.06,8.06
Les Carnets de l'apothicaire,Mystery / Historical,Light Novel,24,En cours,OLM,2023-10-22,8.8,9.5,Ep 19: Maomao,Scène de danse/sacrifice visuellement magnifique et tragique.,7.9,Ep 7: Retour à la maison,"Rythme plus posé, enquête mineure, mais reste très bon.","Enquêtes à la cour impériale, Maomao est une héroïne cynique géniale.","Complots politiques s'épaississent, passé de Maomao révélé.",(Saison 2 annoncée),1.5999999999999996,8.4,3.2188758248682006,Chef-d’œuvre,8.4,3.2188758248682006,8.12188758248682,Mystery,0.19319227230910763,7.959319227230912,8.82,8.82
